order_id,order_date,bike_model,quantity
92,2024-01-29,Gravel Voyager,1
93,2024-01-29,Trailhawk 700,2
94,2024-01-30,Gravel Voyager,4
95,2024-01-30,Trailhawk 700,14
96,2024-01-30,Coastal Cruiser,1
97,2024-01-30,Coastal Cruiser,1
98,2024-01-31,Gravel Voyager,1
99,2024-01-31,Summit Climber,3
100,2024-02-02,Trailhawk 700,1
101,2024-02-02,Summit Climber,4
102,2024-02-02,Metro Commuter,2
103,2024-02-03,Metro Commuter,3
104,2024-02-04,Trailhawk 700,2
105,2024-02-04,Kids Explorer 20,1
106,2024-02-05,Metro Commuter,2
107,2024-02-05,Trailhawk 700,1
108,2024-02-06,Trailhawk 700,2
109,2024-02-07,Gravel Voyager,1
110,2024-02-08,Trailhawk 700,1
111,2024-02-08,Summit Climber,1
112,2024-02-08,Trailhawk 700,2
113,2024-02-08,Coastal Cruiser,4
114,2024-02-09,Summit Climber,2
115,2024-02-09,Kids Explorer 20,1
116,2024-02-10,Kids Explorer 20,1
117,2024-02-10,Coastal Cruiser,2
118,2024-02-11,Coastal Cruiser,19
119,2024-02-11,Metro Commuter,2
120,2024-02-11,Coastal Cruiser,1
121,2024-02-11,Coastal Cruiser,1
122,2024-02-12,Metro Commuter,3
123,2024-02-12,Coastal Cruiser,32
124,2024-02-12,Metro Commuter,1
125,2024-02-12,Metro Commuter,1
126,2024-02-13,Metro Commuter,1
127,2024-02-13,Trailhawk 700,1
128,2024-02-16,Summit Climber,2
129,2024-02-17,Summit Climber,2
130,2024-02-18,Metro Commuter,5
131,2024-02-19,Trailhawk 700,1
132,2024-02-19,Gravel Voyager,2
133,2024-02-20,Summit Climber,2
134,2024-02-20,Trailhawk 700,2
135,2024-02-20,Coastal Cruiser,4
136,2024-02-20,Gravel Voyager,2
137,2024-02-21,Gravel Voyager,2
138,2024-02-21,Coastal Cruiser,1
139,2024-02-22,Coastal Cruiser,1
140,2024-02-22,Coastal Cruiser,3
141,2024-02-22,Kids Explorer 20,1
142,2024-02-22,Gravel Voyager,2
143,2024-02-23,Kids Explorer 20,2
144,2024-02-23,Summit Climber,23
145,2024-02-23,Coastal Cruiser,1
146,2024-02-23,Gravel Voyager,1
147,2024-02-23,Coastal Cruiser,1
148,2024-02-24,Gravel Voyager,1
149,2024-02-24,Trailhawk 700,2
150,2024-02-25,Metro Commuter,1
151,2024-02-25,Trailhawk 700,1
152,2024-02-25,Kids Explorer 20,25
153,2024-02-25,Kids Explorer 20,1
154,2024-02-26,Coastal Cruiser,3
155,2024-02-26,Trailhawk 700,1
156,2024-02-26,Gravel Voyager,1
157,2024-02-26,Coastal Cruiser,5
158,2024-02-26,Coastal Cruiser,1
159,2024-02-26,Metro Commuter,4
160,2024-02-27,Trailhawk 700,1
161,2024-02-27,Trailhawk 700,2
162,2024-02-28,Coastal Cruiser,50
163,2024-02-28,Metro Commuter,1
164,2024-02-28,Metro Commuter,1
165,2024-02-28,Gravel Voyager,1
166,2024-02-29,Coastal Cruiser,1
167,2024-02-29,Trailhawk 700,3
168,2024-03-01,Summit Climber,1
169,2024-03-01,Metro Commuter,1
170,2024-03-02,Metro Commuter,5
171,2024-03-03,Kids Explorer 20,2
172,2024-03-03,Metro Commuter,2
173,2024-03-03,Metro Commuter,2
174,2024-03-04,Gravel Voyager,2
175,2024-03-04,Kids Explorer 20,2
176,2024-03-05,Trailhawk 700,2
177,2024-03-05,Gravel Voyager,1
178,2024-03-05,Trailhawk 700,1
179,2024-03-05,Trailhawk 700,1
180,2024-03-05,Coastal Cruiser,2
181,2024-03-05,Trailhawk 700,1
182,2024-03-05,Kids Explorer 20,2
183,2024-03-06,Metro Commuter,2
184,2024-03-06,Trailhawk 700,3
185,2024-03-06,Metro Commuter,3
186,2024-03-07,Trailhawk 700,3
187,2024-03-08,Kids Explorer 20,1
188,2024-03-08,Gravel Voyager,3
189,2024-03-09,Summit Climber,2
190,2024-03-09,Trailhawk 700,1
191,2024-03-09,Kids Explorer 20,1
192,2024-03-09,Trailhawk 700,1
193,2024-03-09,Coastal Cruiser,2
194,2024-03-09,Metro Commuter,1
195,2024-03-10,Kids Explorer 20,3
196,2024-03-10,Coastal Cruiser,11
197,2024-03-10,Kids Explorer 20,1
198,2024-03-11,Metro Commuter,4
199,2024-03-11,Coastal Cruiser,4
200,2024-03-11,Trailhawk 700,1
201,2024-03-12,Coastal Cruiser,1
202,2024-03-12,Kids Explorer 20,2
203,2024-03-13,Kids Explorer 20,1
204,2024-03-13,Coastal Cruiser,1
205,2024-03-13,Coastal Cruiser,3
206,2024-03-13,Trailhawk 700,2
207,2024-03-13,Trailhawk 700,1
208,2024-03-13,Summit Climber,1
209,2024-03-14,Kids Explorer 20,2
210,2024-03-14,Trailhawk 700,38
211,2024-03-14,Kids Explorer 20,1
212,2024-03-14,Trailhawk 700,2
213,2024-03-14,Summit Climber,2
214,2024-03-15,Trailhawk 700,1
215,2024-03-16,Gravel Voyager,2
216,2024-03-16,Metro Commuter,1
217,2024-03-17,Gravel Voyager,1
218,2024-03-17,Metro Commuter,1
219,2024-03-18,Summit Climber,1
220,2024-03-19,Gravel Voyager,1
221,2024-03-20,Gravel Voyager,2
222,2024-03-20,Trailhawk 700,2
223,2024-03-20,Trailhawk 700,2
224,2024-03-21,Coastal Cruiser,1
225,2024-03-21,Gravel Voyager,1
226,2024-03-21,Kids Explorer 20,1
227,2024-03-21,Summit Climber,3
228,2024-03-21,Metro Commuter,3
229,2024-03-22,Summit Climber,2
230,2024-03-22,Coastal Cruiser,1
231,2024-03-22,Summit Climber,2
232,2024-03-22,Gravel Voyager,3
233,2024-03-23,Summit Climber,44
234,2024-03-23,Coastal Cruiser,1
235,2024-03-23,Kids Explorer 20,2
236,2024-03-23,Trailhawk 700,37
237,2024-03-23,Kids Explorer 20,2
238,2024-03-24,Gravel Voyager,3
239,2024-03-24,Trailhawk 700,2
240,2024-03-24,Trailhawk 700,4
241,2024-03-24,Summit Climber,2
242,2024-03-24,Summit Climber,4
243,2024-03-24,Metro Commuter,2
244,2024-03-25,Kids Explorer 20,1
245,2024-03-26,Gravel Voyager,2
246,2024-03-26,Gravel Voyager,2
247,2024-03-26,Metro Commuter,4
248,2024-03-26,Trailhawk 700,1
249,2024-03-26,Metro Commuter,1
250,2024-03-26,Trailhawk 700,3
251,2024-03-27,Summit Climber,2
252,2024-03-28,Gravel Voyager,14
253,2024-03-28,Trailhawk 700,1
254,2024-03-28,Metro Commuter,1
255,2024-03-28,Trailhawk 700,1
256,2024-03-28,Gravel Voyager,3
257,2024-03-28,Coastal Cruiser,2
258,2024-03-28,Gravel Voyager,16
259,2024-03-29,Metro Commuter,1
260,2024-03-29,Summit Climber,2
261,2024-03-29,Metro Commuter,3
262,2024-03-30,Gravel Voyager,2
263,2024-03-30,Trailhawk 700,2
264,2024-03-30,Coastal Cruiser,3
265,2024-03-30,Metro Commuter,1
266,2024-03-31,Kids Explorer 20,2
267,2024-03-31,Metro Commuter,4
268,2024-03-31,Summit Climber,2
269,2024-03-31,Gravel Voyager,5
270,2024-03-31,Summit Climber,4
271,2024-03-31,Summit Climber,1
272,2024-04-01,Summit Climber,3
273,2024-04-02,Coastal Cruiser,3
274,2024-04-03,Metro Commuter,3
275,2024-04-03,Gravel Voyager,2
276,2024-04-03,Kids Explorer 20,30
277,2024-04-04,Summit Climber,1
278,2024-04-04,Trailhawk 700,1
279,2024-04-04,Metro Commuter,3
280,2024-04-04,Metro Commuter,1
281,2024-04-05,Trailhawk 700,2
282,2024-04-05,Metro Commuter,1
283,2024-04-05,Coastal Cruiser,4
284,2024-04-06,Metro Commuter,1
285,2024-04-06,Coastal Cruiser,1
286,2024-04-06,Trailhawk 700,1
287,2024-04-07,Gravel Voyager,3
288,2024-04-07,Trailhawk 700,1
289,2024-04-07,Summit Climber,1
290,2024-04-07,Trailhawk 700,2
291,2024-04-08,Gravel Voyager,1
292,2024-04-08,Metro Commuter,2
293,2024-04-08,Metro Commuter,4
294,2024-04-08,Metro Commuter,1
295,2024-04-09,Trailhawk 700,2
296,2024-04-10,Kids Explorer 20,1
297,2024-04-10,Trailhawk 700,23
298,2024-04-10,Summit Climber,4
299,2024-04-10,Trailhawk 700,32
300,2024-04-11,Coastal Cruiser,45
301,2024-04-11,Kids Explorer 20,20
302,2024-04-11,Metro Commuter,1
303,2024-04-12,Gravel Voyager,3
304,2024-04-12,Summit Climber,26
305,2024-04-12,Coastal Cruiser,1
306,2024-04-12,Coastal Cruiser,1
307,2024-04-12,Kids Explorer 20,4
308,2024-04-13,Kids Explorer 20,2
309,2024-04-13,Metro Commuter,1
310,2024-04-14,Trailhawk 700,13
311,2024-04-14,Coastal Cruiser,3
312,2024-04-14,Trailhawk 700,4
313,2024-04-15,Metro Commuter,1
314,2024-04-15,Trailhawk 700,1
315,2024-04-15,Gravel Voyager,1
316,2024-04-15,Gravel Voyager,1
317,2024-04-16,Gravel Voyager,2
318,2024-04-16,Gravel Voyager,5
319,2024-04-17,Trailhawk 700,1
320,2024-04-17,Trailhawk 700,3
321,2024-04-18,Summit Climber,3
322,2024-04-18,Metro Commuter,3
323,2024-04-18,Coastal Cruiser,1
324,2024-04-18,Summit Climber,4
325,2024-04-19,Gravel Voyager,2
326,2024-04-19,Metro Commuter,1
327,2024-04-20,Metro Commuter,1
328,2024-04-20,Metro Commuter,1
329,2024-04-20,Metro Commuter,1
330,2024-04-21,Trailhawk 700,2
331,2024-04-21,Gravel Voyager,1
332,2024-04-21,Gravel Voyager,1
333,2024-04-21,Trailhawk 700,4
334,2024-04-21,Trailhawk 700,1
335,2024-04-22,Kids Explorer 20,1
336,2024-04-22,Trailhawk 700,2
337,2024-04-22,Trailhawk 700,2
338,2024-04-22,Summit Climber,2
339,2024-04-22,Summit Climber,1
340,2024-04-22,Summit Climber,2
341,2024-04-23,Coastal Cruiser,4
342,2024-04-23,Trailhawk 700,2
343,2024-04-23,Summit Climber,1
344,2024-04-24,Coastal Cruiser,2
345,2024-04-24,Gravel Voyager,2
346,2024-04-24,Coastal Cruiser,16
347,2024-04-24,Gravel Voyager,2
348,2024-04-25,Summit Climber,20
349,2024-04-26,Kids Explorer 20,41
350,2024-04-26,Metro Commuter,5
351,2024-04-27,Gravel Voyager,3
352,2024-04-27,Coastal Cruiser,2
353,2024-04-27,Metro Commuter,1
354,2024-04-27,Metro Commuter,3
355,2024-04-27,Metro Commuter,1
356,2024-04-27,Summit Climber,3
357,2024-04-28,Gravel Voyager,2
358,2024-04-28,Trailhawk 700,5
359,2024-04-29,Coastal Cruiser,1
360,2024-04-30,Coastal Cruiser,1
361,2024-04-30,Kids Explorer 20,4
362,2024-04-30,Coastal Cruiser,1
363,2024-04-30,Trailhawk 700,4
364,2024-04-30,Summit Climber,20
365,2024-05-01,Gravel Voyager,2
366,2024-05-01,Coastal Cruiser,3
367,2024-05-01,Gravel Voyager,3
368,2024-05-01,Trailhawk 700,3
369,2024-05-02,Trailhawk 700,1
370,2024-05-02,Gravel Voyager,3
371,2024-05-02,Trailhawk 700,1
372,2024-05-03,Kids Explorer 20,12
373,2024-05-03,Coastal Cruiser,3
374,2024-05-03,Coastal Cruiser,1
375,2024-05-04,Summit Climber,1
376,2024-05-04,Gravel Voyager,2
377,2024-05-04,Coastal Cruiser,2
378,2024-05-04,Summit Climber,4
379,2024-05-05,Summit Climber,37
380,2024-05-05,Metro Commuter,1
381,2024-05-06,Metro Commuter,3
382,2024-05-07,Summit Climber,2
383,2024-05-07,Metro Commuter,1
384,2024-05-07,Gravel Voyager,4
385,2024-05-07,Coastal Cruiser,4
386,2024-05-08,Coastal Cruiser,4
387,2024-05-08,Trailhawk 700,1
388,2024-05-08,Coastal Cruiser,2
389,2024-05-08,Gravel Voyager,42
390,2024-05-08,Metro Commuter,4
391,2024-05-09,Gravel Voyager,1
392,2024-05-09,Metro Commuter,2
393,2024-05-10,Gravel Voyager,1
394,2024-05-10,Metro Commuter,4
395,2024-05-10,Trailhawk 700,39
396,2024-05-11,Coastal Cruiser,2
397,2024-05-12,Trailhawk 700,1
398,2024-05-12,Kids Explorer 20,2
399,2024-05-13,Summit Climber,1
400,2024-05-13,Metro Commuter,3
401,2024-05-13,Summit Climber,1
402,2024-05-14,Trailhawk 700,1
403,2024-05-14,Metro Commuter,3
404,2024-05-15,Summit Climber,2
405,2024-05-16,Gravel Voyager,1
406,2024-05-16,Kids Explorer 20,2
407,2024-05-16,Coastal Cruiser,1
408,2024-05-16,Gravel Voyager,2
409,2024-05-16,Gravel Voyager,3
410,2024-05-17,Coastal Cruiser,1
411,2024-05-17,Coastal Cruiser,39
412,2024-05-17,Gravel Voyager,2
413,2024-05-18,Metro Commuter,1
414,2024-05-18,Trailhawk 700,4
415,2024-05-18,Coastal Cruiser,25
416,2024-05-18,Coastal Cruiser,1
417,2024-05-18,Kids Explorer 20,1
418,2024-05-20,Coastal Cruiser,1
419,2024-05-20,Coastal Cruiser,3
420,2024-05-20,Summit Climber,4
421,2024-05-20,Kids Explorer 20,2
422,2024-05-20,Metro Commuter,1
423,2024-05-21,Gravel Voyager,1
424,2024-05-21,Gravel Voyager,1
425,2024-05-22,Metro Commuter,1
426,2024-05-22,Metro Commuter,1
427,2024-05-22,Kids Explorer 20,1
428,2024-05-22,Kids Explorer 20,2
429,2024-05-22,Metro Commuter,1
430,2024-05-22,Trailhawk 700,3
431,2024-05-22,Coastal Cruiser,2
432,2024-05-23,Gravel Voyager,1
433,2024-05-23,Trailhawk 700,5
434,2024-05-24,Summit Climber,4
435,2024-05-24,Summit Climber,1
436,2024-05-24,Coastal Cruiser,1
437,2024-05-24,Summit Climber,1
438,2024-05-24,Metro Commuter,1
439,2024-05-24,Kids Explorer 20,1
440,2024-05-25,Gravel Voyager,1
441,2024-05-25,Metro Commuter,1
442,2024-05-25,Metro Commuter,2
443,2024-05-26,Kids Explorer 20,4
444,2024-05-26,Kids Explorer 20,1
445,2024-05-26,Trailhawk 700,2
446,2024-05-27,Kids Explorer 20,1
447,2024-05-27,Metro Commuter,3
448,2024-05-27,Metro Commuter,2
449,2024-05-27,Trailhawk 700,3
450,2024-05-28,Gravel Voyager,4
451,2024-05-28,Trailhawk 700,1
452,2024-05-28,Gravel Voyager,2
453,2024-05-29,Gravel Voyager,5
454,2024-05-29,Trailhawk 700,1
455,2024-05-29,Metro Commuter,35
456,2024-05-30,Trailhawk 700,3
457,2024-05-31,Gravel Voyager,1
458,2024-05-31,Metro Commuter,2
459,2024-05-31,Coastal Cruiser,3
460,2024-06-01,Summit Climber,1
461,2024-06-01,Gravel Voyager,3
462,2024-06-02,Kids Explorer 20,44
463,2024-06-02,Summit Climber,2
464,2024-06-02,Kids Explorer 20,2
465,2024-06-02,Metro Commuter,4
466,2024-06-02,Summit Climber,3
467,2024-06-02,Coastal Cruiser,2
468,2024-06-03,Trailhawk 700,2
469,2024-06-03,Gravel Voyager,3
470,2024-06-04,Coastal Cruiser,1
471,2024-06-04,Coastal Cruiser,1
472,2024-06-04,Metro Commuter,1
473,2024-06-04,Coastal Cruiser,1
474,2024-06-04,Summit Climber,2
475,2024-06-05,Kids Explorer 20,1
476,2024-06-05,Coastal Cruiser,3
477,2024-06-05,Coastal Cruiser,3
478,2024-06-05,Gravel Voyager,3
479,2024-06-05,Trailhawk 700,27
480,2024-06-06,Trailhawk 700,1
481,2024-06-06,Kids Explorer 20,3
482,2024-06-07,Coastal Cruiser,1
483,2024-06-07,Summit Climber,2
484,2024-06-07,Trailhawk 700,1
485,2024-06-08,Coastal Cruiser,1
486,2024-06-08,Summit Climber,3
487,2024-06-08,Kids Explorer 20,1
488,2024-06-09,Trailhawk 700,1
489,2024-06-09,Trailhawk 700,2
490,2024-06-09,Summit Climber,3
491,2024-06-09,Summit Climber,29
492,2024-06-09,Metro Commuter,1
493,2024-06-10,Gravel Voyager,2
494,2024-06-10,Coastal Cruiser,2
495,2024-06-10,Gravel Voyager,5
496,2024-06-11,Coastal Cruiser,1
497,2024-06-11,Metro Commuter,1
498,2024-06-12,Metro Commuter,4
499,2024-06-12,Summit Climber,2
500,2024-06-12,Summit Climber,2
501,2024-06-13,Trailhawk 700,3
502,2024-06-13,Coastal Cruiser,4
503,2024-06-13,Trailhawk 700,1
504,2024-06-14,Trailhawk 700,1
505,2024-06-14,Summit Climber,1
506,2024-06-14,Gravel Voyager,2
507,2024-06-14,Gravel Voyager,5
508,2024-06-14,Summit Climber,1
509,2024-06-14,Gravel Voyager,1
510,2024-06-15,Gravel Voyager,4
511,2024-06-15,Metro Commuter,5
512,2024-06-15,Trailhawk 700,2
513,2024-06-16,Trailhawk 700,3
514,2024-06-17,Metro Commuter,3
515,2024-06-17,Trailhawk 700,2
516,2024-06-18,Gravel Voyager,3
517,2024-06-19,Trailhawk 700,2
518,2024-06-19,Kids Explorer 20,2
519,2024-06-19,Coastal Cruiser,3
520,2024-06-19,Coastal Cruiser,1
521,2024-06-19,Metro Commuter,1
522,2024-06-20,Trailhawk 700,4
523,2024-06-20,Trailhawk 700,4
524,2024-06-20,Summit Climber,2
525,2024-06-20,Kids Explorer 20,4
526,2024-06-21,Trailhawk 700,2
527,2024-06-21,Gravel Voyager,1
528,2024-06-21,Metro Commuter,5
529,2024-06-21,Gravel Voyager,1
530,2024-06-21,Trailhawk 700,2
531,2024-06-22,Gravel Voyager,1
532,2024-06-22,Trailhawk 700,1
533,2024-06-23,Gravel Voyager,1
534,2024-06-23,Gravel Voyager,1
535,2024-06-23,Summit Climber,17
536,2024-06-23,Kids Explorer 20,20
537,2024-06-23,Summit Climber,1
538,2024-06-23,Gravel Voyager,2
539,2024-06-25,Metro Commuter,2
540,2024-06-26,Trailhawk 700,4
541,2024-06-26,Trailhawk 700,3
542,2024-06-26,Metro Commuter,4
543,2024-06-26,Metro Commuter,4
544,2024-06-26,Coastal Cruiser,2
545,2024-06-27,Trailhawk 700,2
546,2024-06-27,Trailhawk 700,1
547,2024-06-27,Metro Commuter,1
548,2024-06-27,Coastal Cruiser,1
549,2024-06-28,Summit Climber,1
550,2024-06-28,Coastal Cruiser,2
551,2024-06-28,Trailhawk 700,3
552,2024-06-28,Metro Commuter,1
553,2024-06-29,Trailhawk 700,1
554,2024-06-29,Coastal Cruiser,1
555,2024-06-29,Gravel Voyager,1
556,2024-06-30,Metro Commuter,1
557,2024-06-30,Metro Commuter,2
558,2024-07-01,Trailhawk 700,2
559,2024-07-01,Trailhawk 700,2
560,2024-07-01,Metro Commuter,2
561,2024-07-01,Trailhawk 700,3
562,2024-07-01,Trailhawk 700,4
563,2024-07-01,Summit Climber,1
564,2024-07-02,Coastal Cruiser,1
565,2024-07-02,Gravel Voyager,1
566,2024-07-02,Kids Explorer 20,2
567,2024-07-03,Metro Commuter,3
568,2024-07-04,Kids Explorer 20,5
569,2024-07-04,Trailhawk 700,3
570,2024-07-04,Coastal Cruiser,4
571,2024-07-04,Coastal Cruiser,1
572,2024-07-05,Coastal Cruiser,2
573,2024-07-05,Kids Explorer 20,1
574,2024-07-06,Metro Commuter,3
575,2024-07-06,Trailhawk 700,1
576,2024-07-06,Metro Commuter,5
577,2024-07-06,Trailhawk 700,1
578,2024-07-06,Gravel Voyager,1
579,2024-07-06,Gravel Voyager,4
580,2024-07-06,Metro Commuter,3
581,2024-07-07,Metro Commuter,3
582,2024-07-07,Gravel Voyager,1
583,2024-07-07,Kids Explorer 20,3
584,2024-07-08,Coastal Cruiser,2
585,2024-07-08,Coastal Cruiser,1
586,2024-07-08,Coastal Cruiser,1
587,2024-07-08,Kids Explorer 20,1
588,2024-07-08,Metro Commuter,1
589,2024-07-08,Trailhawk 700,2
590,2024-07-08,Trailhawk 700,2
591,2024-07-09,Coastal Cruiser,1
592,2024-07-09,Summit Climber,4
593,2024-07-10,Kids Explorer 20,2
594,2024-07-10,Metro Commuter,1
595,2024-07-10,Kids Explorer 20,1
596,2024-07-10,Metro Commuter,1
597,2024-07-10,Coastal Cruiser,1
598,2024-07-11,Coastal Cruiser,1
599,2024-07-11,Gravel Voyager,2
600,2024-07-11,Trailhawk 700,2
601,2024-07-11,Kids Explorer 20,2
602,2024-07-12,Trailhawk 700,3
603,2024-07-12,Coastal Cruiser,4
604,2024-07-12,Metro Commuter,33
605,2024-07-12,Metro Commuter,2
606,2024-07-13,Kids Explorer 20,3
607,2024-07-14,Metro Commuter,4
608,2024-07-14,Metro Commuter,2
609,2024-07-14,Coastal Cruiser,1
610,2024-07-14,Kids Explorer 20,3
611,2024-07-15,Gravel Voyager,5
612,2024-07-15,Gravel Voyager,1
613,2024-07-16,Metro Commuter,37
614,2024-07-16,Kids Explorer 20,3
615,2024-07-17,Summit Climber,4
616,2024-07-17,Metro Commuter,2
617,2024-07-17,Coastal Cruiser,1
618,2024-07-18,Kids Explorer 20,2
619,2024-07-18,Metro Commuter,3
620,2024-07-18,Coastal Cruiser,2
621,2024-07-19,Trailhawk 700,5
622,2024-07-20,Metro Commuter,2
623,2024-07-20,Coastal Cruiser,1
624,2024-07-20,Trailhawk 700,1
625,2024-07-21,Kids Explorer 20,2
626,2024-07-21,Coastal Cruiser,3
627,2024-07-21,Summit Climber,1
628,2024-07-22,Coastal Cruiser,1
629,2024-07-22,Trailhawk 700,2
630,2024-07-22,Trailhawk 700,3
631,2024-07-22,Metro Commuter,1
632,2024-07-22,Metro Commuter,3
633,2024-07-22,Metro Commuter,3
634,2024-07-23,Coastal Cruiser,1
635,2024-07-23,Trailhawk 700,2
636,2024-07-23,Trailhawk 700,12
637,2024-07-23,Metro Commuter,4
638,2024-07-23,Kids Explorer 20,1
639,2024-07-24,Trailhawk 700,40
640,2024-07-25,Coastal Cruiser,1
641,2024-07-25,Coastal Cruiser,2
642,2024-07-25,Trailhawk 700,2
643,2024-07-25,Coastal Cruiser,4
644,2024-07-26,Trailhawk 700,1
645,2024-07-26,Summit Climber,1
646,2024-07-26,Metro Commuter,2
647,2024-07-27,Summit Climber,2
648,2024-07-28,Kids Explorer 20,5
649,2024-07-28,Kids Explorer 20,5
650,2024-07-28,Trailhawk 700,3
651,2024-07-28,Coastal Cruiser,1
652,2024-07-28,Coastal Cruiser,2
653,2024-07-28,Trailhawk 700,1
654,2024-07-29,Coastal Cruiser,1
655,2024-07-29,Trailhawk 700,35
656,2024-07-30,Coastal Cruiser,13
657,2024-07-31,Metro Commuter,4
658,2024-07-31,Metro Commuter,1
659,2024-08-01,Metro Commuter,1
660,2024-08-02,Gravel Voyager,3
661,2024-08-02,Kids Explorer 20,4
662,2024-08-02,Gravel Voyager,1
663,2024-08-02,Gravel Voyager,5
664,2024-08-03,Coastal Cruiser,4
665,2024-08-03,Summit Climber,4
666,2024-08-03,Metro Commuter,2
667,2024-08-03,Coastal Cruiser,3
668,2024-08-04,Kids Explorer 20,3
669,2024-08-04,Coastal Cruiser,1
670,2024-08-04,Kids Explorer 20,5
671,2024-08-04,Metro Commuter,19
672,2024-08-04,Summit Climber,2
673,2024-08-04,Metro Commuter,1
674,2024-08-04,Metro Commuter,2
675,2024-08-05,Trailhawk 700,3
676,2024-08-05,Gravel Voyager,1
677,2024-08-06,Trailhawk 700,1
678,2024-08-06,Gravel Voyager,5
679,2024-08-06,Trailhawk 700,2
680,2024-08-06,Trailhawk 700,3
681,2024-08-07,Kids Explorer 20,2
682,2024-08-07,Coastal Cruiser,1
683,2024-08-07,Gravel Voyager,1
684,2024-08-08,Coastal Cruiser,1
685,2024-08-08,Metro Commuter,1
686,2024-08-08,Gravel Voyager,4
687,2024-08-08,Gravel Voyager,3
688,2024-08-08,Coastal Cruiser,1
689,2024-08-09,Metro Commuter,37
690,2024-08-10,Coastal Cruiser,44
691,2024-08-10,Gravel Voyager,1
692,2024-08-11,Kids Explorer 20,1
693,2024-08-11,Coastal Cruiser,1
694,2024-08-11,Gravel Voyager,1
695,2024-08-11,Kids Explorer 20,3
696,2024-08-11,Metro Commuter,45
697,2024-08-12,Metro Commuter,5
698,2024-08-12,Coastal Cruiser,1
699,2024-08-12,Metro Commuter,1
700,2024-08-12,Metro Commuter,2
701,2024-08-13,Gravel Voyager,2
702,2024-08-13,Coastal Cruiser,1
